idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,R1,0.100000,0.928078,0.000000,-52.734290,-0.200000,-49.447294
1,R2,0.100000,0.981401,0.000000,-52.734290,-0.200000,-49.447294
2,R3,0.100000,0.979997,0.000000,-52.734290,-0.200000,-49.447294
3,R4,0.100000,0.951690,0.000000,-52.734290,-0.200000,-49.447294
4,R5,0.100000,0.984310,0.000000,-52.734290,-0.200000,-49.447294
5,R6,0.100000,0.876610,0.000000,-52.734290,-0.200000,-49.447294
6,R7,0.180872,0.855968,0.000000,-52.734290,-0.200000,-49.447294
7,R8,0.100000,0.924896,0.000000,-52.734290,-0.200000,-49.447294
8,L1,0.881037,0.865341,51.991498,-52.734290,-0.200000,-49.447294
9,L2,0.924824,0.259143,48.497057,-52.734290,-0.200000,-49.447294
10,L3,0.848846,1.017935,0.000000,-52.734290,-0.200000,-49.447294
11,L4,1.049729,0.136964,0.000000,-52.734290,-0.200000,-49.447294
12,L5,0.899304,0.108664,51.481034,-52.734290,-0.200000,-49.447294
13,Lawf1,0.365410,0.416001,0.000000,-52.734290,-0.200000,-49.447294
14,Lawf2,0.559705,0.984888,0.000000,-52.734290,-0.200000,-49.447294
15,Am,0.976510,0.894771,0.000000,-52.734290,-0.200000,-49.447294
16,C2,0.135328,0.106612,0.000000,-52.734290,-0.200000,-49.447294
17,C3,0.844917,0.805818,0.000000,-52.734290,-0.200000,-49.447294
18,CT1(Lo1),0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
19,CT1(M10),0.100000,0.118425,0.000000,-52.734290,-0.200000,-49.447294
20,Mi1,0.893115,1.066871,0.000000,-52.734290,-0.200000,-49.447294
21,Mi2,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
22,Mi3,0.674821,0.584433,0.000000,-52.734290,-0.200000,-49.447294
23,Mi4,1.083706,0.929333,0.000000,-52.734290,-0.200000,-49.447294
24,Mi9,0.996870,0.894595,0.000000,-52.734290,-0.200000,-49.447294
25,Mi10,0.531831,0.507815,0.000000,-52.734290,-0.200000,-49.447294
26,Mi11,0.480192,0.510416,0.000000,-52.734290,-0.200000,-49.447294
27,Mi12,1.010948,0.986132,0.000000,-52.734290,-0.200000,-49.447294
28,Mi13,0.672784,0.621662,0.000000,-52.734290,-0.200000,-49.447294
29,Mi14,1.062531,0.998079,0.000000,-52.734290,-0.200000,-49.447294
30,Mi15,0.977536,1.037022,0.000000,-52.734290,-0.200000,-49.447294
31,T1,0.955405,0.991942,0.000000,-52.734290,-0.200000,-49.447294
32,T2,0.103002,0.185041,0.000000,-52.734290,-0.200000,-49.447294
33,T2a,0.257750,0.289986,0.000000,-52.734290,-0.200000,-49.447294
34,T3,0.401122,0.450604,0.000000,-52.734290,-0.200000,-49.447294
35,T4a,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
36,T4b,0.103034,0.164184,0.000000,-52.734290,-0.200000,-49.447294
37,T4c,0.261984,0.183376,0.000000,-52.734290,-0.200000,-49.447294
38,T4d,0.845201,0.804506,0.000000,-52.734290,-0.200000,-49.447294
39,T5a,0.214048,0.244797,0.000000,-52.734290,-0.200000,-49.447294
40,T5b,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
41,T5c,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
42,T5d,0.100000,0.130257,0.000000,-52.734290,-0.200000,-49.447294
43,Tm1,0.938314,0.100000,0.000000,-52.734290,-0.200000,-49.447294
44,Tm2,0.551336,0.100000,0.000000,-52.734290,-0.200000,-49.447294
45,Tm3,0.935441,0.580923,0.000000,-52.734290,-0.200000,-49.447294
46,Tm4,0.417967,0.100000,0.000000,-52.734290,-0.200000,-49.447294
47,Tm5Y,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
48,Tm5a,0.579622,0.542440,0.000000,-52.734290,-0.200000,-49.447294
49,Tm5b,0.485605,0.429113,0.000000,-52.734290,-0.200000,-49.447294
50,Tm5c,0.870540,0.979721,0.000000,-52.734290,-0.200000,-49.447294
51,Tm9,1.040102,0.199256,0.000000,-52.734290,-0.200000,-49.447294
52,Tm16,0.475477,0.583013,0.000000,-52.734290,-0.200000,-49.447294
53,Tm20,0.906923,0.959464,0.000000,-52.734290,-0.200000,-49.447294
54,Tm28,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
55,Tm30,0.423074,0.545747,0.000000,-52.734290,-0.200000,-49.447294
56,TmY3,0.100000,0.149628,0.000000,-52.734290,-0.200000,-49.447294
57,TmY4,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
58,TmY5a,0.425510,0.352586,0.000000,-52.734290,-0.200000,-49.447294
59,TmY9,0.733265,0.792787,0.000000,-52.734290,-0.200000,-49.447294
60,TmY10,0.100000,0.100000,0.000000,-52.734290,-0.200000,-49.447294
61,TmY13,0.568217,0.502036,0.000000,-52.734290,-0.200000,-49.447294
62,TmY14,0.100000,0.102851,0.000000,-52.734290,-0.200000,-49.447294
63,TmY15,0.102358,0.100000,0.000000,-52.734290,-0.200000,-49.447294
64,TmY18,1.051810,1.018951,0.000000,-52.734290,-0.200000,-49.447294
